trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-116.57951074573828,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",20,0,-181.95965718474088,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",30,3,-67.85106362202166,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,0,-51.75838943627535,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-156.2157849876787,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",25,0,-120.08031150150777,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,0,-47.10598529621667,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-49.774864171230575,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.21079579943077972}",20,12,16.426371413025343,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",25,5,-25.74966062476485,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",25,0,-40.02847960003655,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",20,0,-19.63475212502963,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-41.41246288742535,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-82.66380316736294,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,0,-15.021220064392178,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,4,13.480975127665952,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,0,-63.342423818182006,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",25,0,-143.93779630959506,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",20,0,-173.52807116776228,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",25,0,-187.76235571496198,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.47553692799599256}",20,0,9.966991055989025,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.004425697988050786}",25,15,-24.623158075096974,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.4833047587530059}",30,4,-88.19834644453826,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.8438539587324921}",25,0,-101.61866037862755,"{0: 11, 1: 4, 2: 10, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9977982791785807}",35,0,-143.82748733075553,"{0: 22, 1: 5, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9074467814501962}",20,6,-120.98419160407447,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.594920663309892}",25,0,-58.55363226464192,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.1367372182078336}",30,10,19.13472930104969,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.354924266788705}",20,0,-62.603697576120766,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7596879128588212}",25,11,-57.71572467327429,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.9784534628188842}",20,0,-153.9232902717625,"{0: 8, 1: 5, 2: 2, 3: 4, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9576594803233847}",35,0,-189.28199340855,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.7023970575027135}",20,0,-57.200289779239974,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.27516333805159693}",20,10,-8.670734493044659,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.21943996321145934}",25,13,-4.664053619496325,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6603167082440802}",25,0,-77.5896673107116,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.939524893748256}",20,0,-178.83401192923628,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9887046181866692}",30,0,-165.0229738413937,"{0: 22, 1: 1, 2: 2, 3: 2, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.7958149698139441}",25,12,-3.9380442818126116,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.40808206181339196}",20,0,-0.8767530747718166,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.07956356727854007}",20,6,23.383324094392716,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.5477292602242685}",20,11,12.268134856149285,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.8817917275413242}",25,0,-92.01289196053891,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9999608263946371}",25,0,-178.53684720249132,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.8733046400935156}",20,0,-93.65359133742416,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.5328330203333975}",25,0,-85.09005962413985,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
