trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.6065306597126334}",20,13,12.343605795356346,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.3, 'e': 0.36787944117144233}",25,0,-254.94438147796438,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 6}",0
3,False,"{'a': 0.3, 'e': 0.22313016014842982}",25,0,-266.4541475812598,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 6}",0
4,False,"{'a': 0.3, 'e': 0.1353352832366127}",25,16,14.490254617808757,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.3, 'e': 0.0820849986238988}",25,0,-87.12483538034422,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.049787068367863944}",20,0,-35.13837316032924,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.0301973834223185}",20,13,14.757916411520085,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.3, 'e': 0.01831563888873418}",20,0,-41.6500855390459,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.011108996538242306}",25,0,10.994740957932532,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.006737946999085467}",35,21,-59.86203092650706,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
11,False,"{'a': 0.3, 'e': 0.004086771438464067}",30,0,-19.688436695228912,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.3, 'e': 0.0024787521766663585}",20,0,-47.346299243442445,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.0015034391929775724}",25,11,19.25450212614572,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.3, 'e': 0.0009118819655545162}",20,0,21.733942466426793,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.0005530843701478336}",20,10,15.661600150838932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.00033546262790251185}",20,0,18.979837665258582,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.00020346836901064417}",20,0,17.0798477237788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.00012340980408667956}",25,0,-19.995223385424925,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.3, 'e': 7.48518298877006e-05}",25,7,-16.404592297336354,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.3, 'e': 4.5399929762484854e-05}",25,0,39.61803698101321,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.3, 'e': 2.7536449349747158e-05}",20,9,16.93437814119454,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.3, 'e': 1.670170079024566e-05}",25,11,23.66173383500277,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.3, 'e': 1.013009359863071e-05}",20,0,1.8669553184260392,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.3, 'e': 6.14421235332821e-06}",30,0,33.8506335470436,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.3, 'e': 3.726653172078671e-06}",25,12,15.455366538252498,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.3, 'e': 2.2603294069810542e-06}",20,0,22.268619646647974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.3, 'e': 1.3709590863840845e-06}",20,2,-14.07984324065017,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.3, 'e': 8.315287191035679e-07}",20,0,24.54558325960991,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.3, 'e': 5.04347662567888e-07}",20,0,26.622035134828252,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.3, 'e': 3.059023205018258e-07}",25,0,33.88953185926195,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.3, 'e': 1.8553913626159784e-07}",20,3,23.910123042950506,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.3, 'e': 1.1253517471925912e-07}",30,11,28.94753090476708,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.3, 'e': 6.82560337633487e-08}",20,0,20.391221991311202,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.3, 'e': 4.139937718785167e-08}",30,0,34.51153910890464,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.3, 'e': 2.510999155743982e-08}",25,3,20.661349749500832,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
