trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.6065306597126334}",20,0,-182.2558933989885,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.36787944117144233}",20,12,-22.999865631798144,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.7, 'e': 0.22313016014842982}",20,15,-13.873236978250574,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,False,"{'a': 0.7, 'e': 0.1353352832366127}",35,0,-256.85250755698513,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 5}",0
5,False,"{'a': 0.7, 'e': 0.0820849986238988}",20,0,-44.10965383140849,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.049787068367863944}",20,10,3.00052151705587,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.0301973834223185}",30,16,-31.08153638059452,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.7, 'e': 0.01831563888873418}",35,0,-35.526501903910976,"{0: 30, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.011108996538242306}",25,16,-36.73214259703844,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.7, 'e': 0.006737946999085467}",25,0,13.726692002989273,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.004086771438464067}",20,0,-45.62752400733398,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.0024787521766663585}",25,14,-19.747605910943143,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.7, 'e': 0.0015034391929775724}",20,0,10.233002042869899,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
