trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-34.722473319304335,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,0,-58.97254811120974,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.0707372016677029}",25,0,-39.98053106151388,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.4161468365471424}",25,0,-126.19601659055228,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.8011436155469337}",20,0,-80.22696728462627,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9899924966004454}",20,0,-69.41209689680534,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9364566872907963}",20,0,-132.0790388181677,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.6536436208636119}",25,0,-69.69918183097865,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.21079579943077972}",30,0,-15.202657359266562,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.2836621854632263}",25,0,-49.89401995570155,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.70866977429126}",20,0,-138.95311415623365,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9601702866503661}",20,0,-71.21116646721957,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9765876257280235}",30,0,-97.99708667019615,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.7539022543433046}",25,0,-119.21938852166387,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.3466353178350258}",20,0,-116.70840572335275,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.14550003380861354}",25,9,1.1269357614459445,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.6020119026848236}",25,0,-51.67058899497778,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9111302618846769}",20,0,-68.58275833687841,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9971721561963784}",20,0,-65.95935529091199,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8390715290764524}",20,0,-91.84549452327953,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.47553692799599256}",20,12,7.697366283576896,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.004425697988050786}",20,12,11.92642230838128,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.4833047587530059}",20,0,-82.41822104216504,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.8438539587324921}",20,0,-62.05548947678423,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9977982791785807}",25,15,2.817430566991188,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.9074467814501962}",20,0,-195.97827384782101,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
27,False,"{'a': 0.01, 'e': 0.594920663309892}",20,1,-23.437964551221647,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.1367372182078336}",20,0,-18.56241338612565,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.354924266788705}",25,8,-88.65839128799433,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
30,False,"{'a': 0.01, 'e': 0.7596879128588212}",25,7,-86.9579759859996,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 1}",1
31,False,"{'a': 0.01, 'e': 0.9784534628188842}",20,0,-60.0472927963966,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9576594803233847}",20,0,-135.27818664258803,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.7023970575027135}",20,0,-107.81178675388016,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.27516333805159693}",30,0,-33.082904927499236,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.21943996321145934}",25,0,0.27020084568232283,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.6603167082440802}",20,0,-65.12429615323859,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.939524893748256}",20,12,-62.70583273437709,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
38,False,"{'a': 0.01, 'e': 0.9887046181866692}",30,0,-11.661714351579942,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.7958149698139441}",25,14,-1.479668653154779,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.40808206181339196}",20,8,-42.80345708386142,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
41,False,"{'a': 0.01, 'e': 0.07956356727854007}",20,6,1.8823903561553184,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.5477292602242685}",25,3,-66.00110539910477,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.8817917275413242}",20,0,-118.4514052495848,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9999608263946371}",20,0,-98.97012334215432,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.8733046400935156}",25,0,-123.24394339974269,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.5328330203333975}",30,0,-54.92479804400396,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",1
47,False,"{'a': 0.01, 'e': 0.061905293994420546}",25,0,-44.42059428640946,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.4241790073369969}",20,2,-52.89972120195644,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.8064094939122546}",30,12,-41.04411729108578,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.9912028118634736}",20,0,-99.9135141151417,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.933315112063922}",20,0,-130.86139676141678,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.6469193223286404}",20,0,-16.59679430000904,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.202135120387182}",25,0,39.948488382212496,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.2921388087338362}",20,0,8.219237725027321,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.7148869687796651}",25,0,-140.21919328324992,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.9626058663135666}",30,0,-148.4862105075809,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.9746452757206577}",20,0,-94.89377752364082,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.7480575296890004}",25,10,5.148269080203936,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.3383192109710552}",20,9,-13.225661608885734,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.15425144988758405}",20,16,8.897950963744282,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.6090559761063562}",20,0,-94.72314856527184,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.9147423578045313}",25,0,-53.37314226467811,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.9964679075571249}",20,0,-56.055999350471616,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8342233605065102}",20,0,-35.71377407059344,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.4677318402470736}",25,5,4.527027484915128,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.013276747223059479}",25,18,11.175681461974479,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.49103472393024045}",20,0,-104.87159373170788,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.8485702747846052}",25,0,-68.61999377991998,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.9983462274487422}",20,0,-114.67542356094232,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.9036922050915067}",20,0,-58.305195655969285,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.587782813560387}",25,0,-145.60602437771615,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
72,False,"{'a': 0.01, 'e': 0.12796368962740468}",35,21,24.08875410493076,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
