trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.8775825618903728}",20,5,-107.98030691657482,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.1, 'e': 0.5403023058681398}",30,0,-60.99257365957479,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.0707372016677029}",25,0,-49.40875356318245,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.4161468365471424}",25,0,-65.09820278590276,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.8011436155469337}",35,1,-223.68797911122235,"{0: 16, 1: 10, 2: 3, 3: 2, 4: 3}",1
6,False,"{'a': 0.1, 'e': 0.9899924966004454}",20,0,-137.23341312872836,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
7,False,"{'a': 0.1, 'e': 0.9364566872907963}",25,0,-62.132112796640754,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.6536436208636119}",20,0,-133.3424369337782,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.1, 'e': 0.21079579943077972}",25,16,-14.463004354773727,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.2836621854632263}",25,8,-16.578224387907447,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.1, 'e': 0.70866977429126}",20,0,-59.258713713259134,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9601702866503661}",25,0,-102.15949836582234,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
