trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.6065306597126334}",25,0,-37.89275718848615,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.5769498103804866}",25,0,-126.10670885990662,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.5488116360940264}",25,0,-134.96493330461172,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.5220457767610159}",20,0,-105.57582632064627,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.4965853037914094}",25,6,-81.10939714257205,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.1, 'e': 0.4723665527410146}",25,0,-89.39985543678812,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.44932896411722145}",20,0,-138.18539739543874,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.42741493194872654}",20,0,-88.07293358329869,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.40656965974059894}",25,0,-64.0864533383028,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.38674102345450106}",25,8,-69.81911651992982,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 2}",1
11,False,"{'a': 0.1, 'e': 0.36787944117144217}",30,0,-55.464213928261294,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.34993774911115516}",25,0,-93.18287111129774,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.3328710836980794}",20,0,-6.014121536727425,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.31663676937905305}",20,0,-92.49139959204415,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.3011942119122019}",35,25,16.84850648594919,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.2865047968601899}",25,12,-41.248736797439975,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.1, 'e': 0.2725317930340124}",20,0,-0.8993174045643479,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.2592402606458913}",20,0,20.009833309317084,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.1, 'e': 0.24659696394160627}",25,13,15.81135799927967,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.1, 'e': 0.23457028809379746}",25,0,7.088915772946889,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.22313016014842962}",25,13,-4.659122895381142,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 0.1, 'e': 0.21224797382674285}",25,11,13.17281702661326,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.1, 'e': 0.20189651799465522}",25,13,17.188621729014002,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.1920499086207539}",20,0,-2.425050424157756,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.18268352405273444}",25,0,-20.88192872412714,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.1, 'e': 0.17377394345044495}",20,14,12.720986981272048,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.16529888822158634}",30,16,28.30043525474845,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.1, 'e': 0.15723716631362744}",20,12,7.108091805373299,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.14956861922263487}",30,0,-40.47069153896125,"{0: 26, 1: 0, 2: 1, 3: 3, 4: 0}",0
30,False,"{'a': 0.1, 'e': 0.1422740715865134}",30,14,-16.119369500959607,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.1, 'e': 0.1353352832366125}",30,20,19.861578759061953,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.1, 'e': 0.12873490358780407}",25,0,-8.043549775631309,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
33,False,"{'a': 0.1, 'e': 0.1224564282529818}",30,0,43.38594381169243,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.1, 'e': 0.11648415777349687}",20,0,6.205180829432303,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.1, 'e': 0.11080315836233381}",20,6,8.888697461904586,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.10539922456186429}",20,0,20.112404586082658,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.1, 'e': 0.1002588437228037}",35,4,2.5199272510190833,"{0: 26, 1: 2, 2: 3, 3: 0, 4: 0}",1
38,False,"{'a': 0.1, 'e': 0.09536916221554961}",35,21,11.763110054885765,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.1, 'e': 0.09071795328941251}",20,2,20.207966791774112,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.1, 'e': 0.08629358649937054}",25,14,20.804565311463122,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.1, 'e': 0.08208499862389883}",20,0,15.800802513835514,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.1, 'e': 0.0780816660011532}",20,0,16.480963106841894,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.1, 'e': 0.07427357821433395}",30,13,-51.750241219377905,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
44,False,"{'a': 0.1, 'e': 0.07065121306042965}",20,15,0.7358939661126529,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.06720551273974984}",20,4,-9.231138616254533,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.06392786120670765}",20,9,18.186423063372715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.060810062625218056}",20,7,-0.8259340416231562,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.05784432087483856}",25,0,31.632894116076052,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.1, 'e': 0.055023220056407335}",25,0,-14.037689909985966,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.0523397059484325}",30,12,24.00514379624254,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.1, 'e': 0.049787068367864055}",20,0,-2.679141129135176,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
52,False,"{'a': 0.1, 'e': 0.04735892439114103}",25,0,32.97451690195099,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.1, 'e': 0.04504920239355792}",20,0,25.567004558370837,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.1, 'e': 0.0428521268670403}",25,11,12.137979605454941,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.040762203978366336}",25,4,-10.37338197245423,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.1, 'e': 0.038774207831722134}",25,0,4.359152490749486,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
57,False,"{'a': 0.1, 'e': 0.036883167401240126}",30,6,-2.853020608811967,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 0}",1
58,False,"{'a': 0.1, 'e': 0.03508435410084515}",25,6,31.19158123994877,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.0333732699603262}",25,0,-9.20136790653203,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.031745636378068064}",30,0,33.815123882228946,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.030197383422318622}",25,0,32.64243267900473,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.1, 'e': 0.028724639654239548}",25,1,34.86541756439346,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.1, 'e': 0.02732372244729268}",25,18,15.331370758790275,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.1, 'e': 0.02599112877875546}",25,18,13.60485895156805,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.1, 'e': 0.024723526470339506}",25,9,27.40836616694238,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.1, 'e': 0.02351774585600922}",20,5,23.204382874191463,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.1, 'e': 0.02237077185616571}",20,0,31.898319312561362,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.1, 'e': 0.02127973643837728}",20,0,29.2477700184197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.1, 'e': 0.0202419114458045}",30,22,14.56964315426983,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.1, 'e': 0.01925470177538703}",30,8,13.253147383784938,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.1, 'e': 0.018315638888734286}",20,0,27.733444550452838,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.1, 'e': 0.017422374639493608}",20,8,24.317496473119682,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.1, 'e': 0.01657267540176134}",30,0,36.589396844905245,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.1, 'e': 0.015764416484854583}",30,18,20.334150760754863,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.1, 'e': 0.014995576820477797}",20,16,10.264040732569642,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.1, 'e': 0.014264233908999344}",35,5,-19.16065988773422,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",1
77,False,"{'a': 0.1, 'e': 0.013568559012201019}",20,2,30.128080480774827,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.012906812580479954}",30,12,32.51187418663888,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.1, 'e': 0.012277339903068524}",20,0,29.916630097900647,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.1, 'e': 0.011678566970395526}",30,16,23.015127469209254,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.011108996538242386}",20,0,7.371260922868757,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
82,False,"{'a': 0.1, 'e': 0.010567204383852731}",20,0,30.097617014584202,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.1, 'e': 0.010051835744633657}",35,20,24.25227892740194,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.00956160193054358}",25,0,31.751820613026027,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.1, 'e': 0.009095277101695888}",20,11,16.7488338504975,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.008651695203120703}",20,0,31.943123779442786,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.1, 'e': 0.008229747049020096}",25,11,18.731017944033837,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.007828377549225838}",35,17,35.0238589722346,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
