trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",30,0,-186.0701663952477,"{0: 14, 1: 7, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.25}",20,0,-91.72453253519572,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.1111111111111111}",25,0,-35.86187909198437,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.0625}",25,0,-72.02202689022717,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.04}",20,0,8.861312226218033,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.027777777777777776}",20,7,-11.344635686199117,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.02040816326530612}",25,0,-28.10396608666573,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.015625}",25,0,5.99748997360412,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.012345679012345678}",20,0,-66.52616938107424,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.01}",35,0,3.3335186003101738,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.008264462809917356}",25,0,-49.36352035231156,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.006944444444444444}",25,7,10.290237930908503,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.005917159763313609}",20,0,12.98811370524223,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.00510204081632653}",25,4,-19.590175872749683,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.7, 'e': 0.0044444444444444444}",25,3,17.92554180575769,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.00390625}",20,3,-5.512268192943083,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.0034602076124567475}",20,0,-10.530450463617036,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.0030864197530864196}",20,0,-11.523161975394457,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.002770083102493075}",35,0,-24.73349110602785,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.0025}",20,0,22.823201091165465,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.0022675736961451248}",25,0,-3.9155869316483813,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.002066115702479339}",20,0,27.313349842735033,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.001890359168241966}",25,0,-22.045431518247167,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.7, 'e': 0.001736111111111111}",25,0,-27.776541574748826,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.0016}",30,0,-42.33924615846536,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
26,False,"{'a': 0.7, 'e': 0.0014792899408284023}",20,0,25.003298655466182,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.0013717421124828531}",20,0,17.794966110717404,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.7, 'e': 0.0012755102040816326}",25,0,40.02825706044983,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.0011890606420927466}",20,8,21.977034566880885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.0011111111111111111}",25,0,34.703648901771565,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.7, 'e': 0.001040582726326743}",30,0,29.521115194632028,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.0009765625}",20,12,-28.355589680357973,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.7, 'e': 0.0009182736455463728}",25,13,26.243014488832,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.0008650519031141869}",25,2,18.17052476843393,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.0008163265306122449}",20,3,21.167971449016083,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.0007716049382716049}",20,6,22.210489512778256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.0007304601899196494}",25,11,2.6484095074772007,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.0006925207756232687}",20,0,27.39334131676713,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.7, 'e': 0.0006574621959237344}",25,0,36.38652524371231,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.7, 'e': 0.000625}",20,16,7.474015481355958,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.000594883997620464}",25,16,19.24820673020995,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.0005668934240362812}",30,18,23.092414182418587,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.0005408328826392645}",35,12,38.19847808255706,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.0005165289256198347}",20,6,17.426172658580235,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.0004938271604938272}",25,15,20.925850775179164,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.0004725897920604915}",35,14,41.83846998107375,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.0004526935264825713}",25,11,16.910482238364807,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
