trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.6065306597126334}",20,0,-68.96282004986617,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.5769498103804866}",25,0,-175.2203691709153,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.5488116360940264}",25,0,-84.01614346158709,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.5220457767610159}",25,0,-171.85037872335434,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.4965853037914094}",20,0,-29.63572348289552,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.4723665527410146}",25,0,-43.10748980870925,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.44932896411722145}",25,0,-69.59677114017495,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.42741493194872654}",25,0,-17.84649205971344,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.40656965974059894}",20,0,-49.47583496873769,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.38674102345450106}",20,0,-108.14287795191336,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.36787944117144217}",25,0,-87.97735353096336,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.34993774911115516}",20,0,-36.12456749918662,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.3328710836980794}",20,8,7.235305989413341,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.31663676937905305}",25,3,-97.57111720551467,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 2}",1
15,False,"{'a': 0.1, 'e': 0.3011942119122019}",25,0,-6.7144618701111565,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.2865047968601899}",30,0,-8.368875977500842,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.2725317930340124}",30,0,-47.02288172922089,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.2592402606458913}",25,17,-1.810458214486221,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.24659696394160627}",20,0,-77.07095539714419,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
